
2024/02/02 (04:42:48) | ===> btop++ v.1.2.13
2024/02/02 (04:42:48) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/02 (04:47:15) | ===> btop++ v.1.2.13
2024/02/02 (04:47:15) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/02 (04:49:26) | ===> btop++ v.1.2.13
2024/02/02 (04:49:26) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/02 (21:50:10) | ===> btop++ v.1.2.13
2024/02/02 (21:50:10) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/03 (04:15:55) | ===> btop++ v.1.2.13
2024/02/03 (04:15:55) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/16 (14:44:42) | ===> btop++ v.1.2.13
2024/02/16 (14:44:42) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/16 (14:51:40) | ===> btop++ v.1.2.13
2024/02/16 (14:51:40) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/02/20 (12:19:42) | ===> btop++ v.1.2.13
2024/02/20 (12:19:42) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/03/04 (15:34:12) | ===> btop++ v.1.2.13
2024/03/04 (15:34:12) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/04/04 (13:21:49) | ===> btop++ v.1.3.2
2024/04/04 (13:21:49) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/04/11 (03:53:55) | ===> btop++ v.1.3.2
2024/04/11 (03:53:55) | WARNING: Failed to set locale UTF-8 continuing anyway.
